"CODE_IRIS","annee","prix_m2_med","prix_m2_mean","n_ventes"
"027980000",2021,1200,1200,2
"272130000",2024,3584.90566037736,3584.90566037736,1
"280560000",2020,2622.37762237762,2622.37762237762,2
"450330000",2021,1978.57142857143,1978.57142857143,1
"451270000",2020,1269.23076923077,1269.23076923077,1
"451270000",2022,1537.63440860215,1537.63440860215,1
"751010101",2020,11111.1111111111,10737.6020087884,3
"751010101",2021,15125,15613.2646923644,17
"751010101",2022,14520,15181.5291679257,13
"751010101",2023,13987.3913043478,16009.6675056825,15
"751010101",2024,11661.4020833333,13578.3461715012,16
"751010101",2025,11985.0628930818,11863.8879234249,6
"751010102",2020,22080.7692307692,23580.8881306865,6
"751010102",2021,21750,26715.9186918655,7
"751010102",2022,23674.1452991453,23635.2277541491,8
"751010102",2023,12705.2631578947,13949.9124630704,6
"751010102",2024,20165.9982174688,21841.3175876411,6
"751010102",2025,17049.0196078431,17049.0196078431,1
"751010103",2020,16405.4054054054,16405.4054054054,1
"751010103",2021,14846.1538461538,13075.9906759907,3
"751010103",2022,14105.6896551724,19506.002722323,4
"751010103",2023,26403.2258064516,26429.341833254,3
"751010103",2024,14500,16217.7447552448,3
"751010201",2020,14711.7536231884,85411.3928438119,45
"751010201",2021,12396.3157894737,12167.0735917657,43
"751010201",2022,11538.4615384615,12289.359133588,63
"751010201",2023,11055.5555555556,11226.330324437,65
"751010201",2024,10778.2051282051,11026.7698501575,37
"751010201",2025,11148.6486486486,11235.3392190396,25
"751010202",2020,20404.1353383459,58423.154576598,20
"751010202",2021,12967.4258474576,13485.4852782975,42
"751010202",2022,12669.7247706422,12569.938680702,43
"751010202",2023,12800,12584.2033362512,41
"751010202",2024,11777.1794871795,11672.6991220827,20
"751010202",2025,11922.6044226044,12046.7707551213,10
"751010203",2020,12282.9861111111,12498.483255433,28
"751010203",2021,13076.1253309797,13060.5598075717,50
"751010203",2022,12699.5769230769,13837.9630781233,59
"751010203",2023,12333.3333333333,13654.4666483869,45
"751010203",2024,13078.5714285714,28695.8420624128,49
"751010203",2025,12380.8928571429,14798.8215376105,26
"751010204",2020,12464.2857142857,12593.2448419522,11
"751010204",2021,14285.7142857143,39017.0724345567,41
"751010204",2022,13902.0143072289,18908.2542924863,32
"751010204",2023,11081.1555555556,11696.775043766,34
"751010204",2024,12933.8103756708,40212.587013923,42
"751010204",2025,12931.0344827586,12544.3766799064,9
"751010206",2020,10000,8185.22995614129,10
"751010206",2021,13285.9736842105,13601.3556035217,12
"751010206",2022,16263.2042253521,17438.3410519218,14
"751010206",2023,13513.5135135135,13538.6012399721,15
"751010206",2024,16934.7222222222,26965.3606156363,16
"751010206",2025,18000,14562.2335890878,3
"751010301",2020,13571.4285714286,13524.2780183221,37
"751010301",2021,14062.5,15879.6646846288,59
"751010301",2022,12872.2777232143,12821.5034601272,74
"751010301",2023,13544.9735449735,14682.8122890278,54
"751010301",2024,13333.3333333333,13955.1485120249,41
"751010301",2025,12687.5,13304.8695552479,25
"751010302",2021,16070.1754385965,16070.1754385965,2
"751010302",2022,16276.65317139,17034.9221141503,4
"751010302",2023,20114.5833333333,20114.5833333333,2
"751010302",2024,12647.0588235294,14312.585499316,3
"751010302",2025,13210,15048.416374269,3
"751010303",2020,19004.0145985401,26203.8393660747,5
"751010303",2021,12959.1836734694,13774.8560962847,3
"751010303",2022,11000,10135.0029638411,3
"751010303",2023,20191.9381309623,19711.6866491672,4
"751010303",2024,15905.017921147,15905.017921147,2
"751010303",2025,17019.2307692308,17019.2307692308,1
"751010401",2020,10589.519650655,11807.3099452461,9
"751010401",2021,15197.1290322581,19284.7645893243,29
"751010401",2022,15848.3511072261,22203.9349813467,74
"751010401",2023,16470.5882352941,30380.3934054651,49
