CODE_IRIS_2022,CODE_IRIS_2021,CODE_IRIS_2020,CODE_IRIS_2019,CODE_IRIS_2018,CODE_IRIS_2017,CODE_IRIS_2016,CODE_IRIS_2015,CODE_IRIS_2014,CODE_IRIS_2013,CODE_IRIS_2012,CODE_IRIS_2011,CODE_IRIS_2010,CODE_IRIS_2009,CODE_IRIS_2008,CODE_IRIS_1999
010150000,010150000,010150000,010150000,010150000,010150000,010150000,013400000,013400000,013400000,013400000,013400000,013400000,013400000,013400000,013400000
010250000,010250000,010250000,010250000,010250000,011440000,011440000,011440000,011440000,011440000,011440000,011440000,011440000,011440000,011440000,011440000
010330103,010330103,010330103,010330103,010330101,010330101,010330101,010330101,010330101,010330101,010330101,010330101,010330101,010330101,010330101,010330101
010330103,010330103,010330103,010330103,012050000,012050000,012050000,012050000,012050000,012050000,012050000,012050000,012050000,012050000,012050000,012050000
010330401,010330401,010330401,010330401,010910000,010910000,010910000,010910000,010910000,010910000,010910000,010910000,010910000,010910000,010910000,010910000
010360000,010360000,010360000,010360000,012210000,012210000,012210000,012210000,012210000,012210000,012210000,012210000,012210000,012210000,012210000,012210000
010360000,010360000,010360000,010360000,014140000,014140000,014140000,014140000,014140000,014140000,014140000,014140000,014140000,014140000,014140000,014140000
010360000,010360000,010360000,010360000,014420000,014420000,014420000,014420000,014420000,014420000,014420000,014420000,014420000,014420000,014420000,014420000
010800000,010800000,010800000,010800000,010800000,010800000,010800000,011190000,011190000,011190000,011190000,011190000,011190000,011190000,011190000,011190000
010950000,010950000,010950000,010950000,010950000,010950000,011720000,011720000,011720000,011720000,011720000,011720000,011720000,011720000,011720000,011720000
010980000,010980000,010980000,010980000,010980000,010980000,013160000,013160000,013160000,013160000,013160000,013160000,013160000,013160000,013160000,013160000
011300000,011300000,011300000,011300000,011540000,011540000,011540000,011540000,011540000,011540000,011540000,011540000,011540000,011540000,011540000,011540000
011850000,011850000,011850000,011850000,011220000,011220000,011220000,011220000,011220000,011220000,011220000,011220000,011220000,011220000,011220000,011220000
011850000,011850000,011850000,011850000,011860000,011860000,011860000,011860000,011860000,011860000,011860000,011860000,011860000,011860000,011860000,011860000
011850000,011850000,011850000,011850000,014170000,014170000,014170000,014170000,014170000,014170000,014170000,014170000,014170000,014170000,014170000,014170000
011870000,011870000,011870000,011870000,011870000,011870000,011870000,011760000,011760000,011760000,011760000,011760000,011760000,011760000,011760000,011760000
011870000,011870000,011870000,011870000,011870000,011870000,011870000,012920000,012920000,012920000,012920000,012920000,012920000,012920000,012920000,012920000
011870000,011870000,011870000,011870000,011870000,011870000,011870000,014090000,014090000,014090000,014090000,014090000,014090000,014090000,014090000,014090000
012040000,012040000,012040000,012040000,012040000,012040000,012040000,013000000,013000000,013000000,013000000,013000000,013000000,013000000,013000000,013000000
012150000,012150000,012150000,012150000,014130000,014130000,014130000,014130000,014130000,014130000,014130000,014130000,014130000,014130000,014130000,014130000
012270000,012270000,012270000,012270000,013410000,013410000,013410000,013410000,013410000,013410000,013410000,013410000,013410000,013410000,013410000,013410000
012830104,012830104,012830104,012830104,012830104,012830104,012830104,012830104,012830104,012830104,012830104,012830104,012830104,012830104,012830104,011710000
012830104,012830104,012830104,012830104,012830104,012830104,012830104,012830104,012830104,012830104,012830104,012830104,012830104,012830104,012830104,012830101
012860000,012860000,012860000,012860000,012860000,012860000,012860000,012710000,012710000,012710000,012710000,012710000,012710000,012710000,012710000,012710000
013380000,013380000,013380000,013380000,013380000,013380000,013380000,011820000,011820000,011820000,011820000,011820000,011820000,011820000,011820000,011820000
014260000,014260000,014260000,014260000,014260000,014260000,014260000,013120000,013120000,013120000,013120000,013120000,013120000,013120000,013120000,013120000
014530000,014530000,014530000,014530000,010590000,010590000,010590000,010590000,010590000,010590000,010590000,010590000,010590000,010590000,010590000,010590000
014530000,014530000,014530000,014530000,010970000,010970000,010970000,010970000,010970000,010970000,010970000,010970000,010970000,010970000,010970000,010970000
014530000,014530000,014530000,014530000,012180000,012180000,012180000,012180000,012180000,012180000,012180000,012180000,012180000,012180000,012180000,012180000
020180000,020180000,020180000,020180000,023010000,023010000,023010000,023010000,023010000,023010000,023010000,023010000,023010000,023010000,023010000,023010000
020180000,020180000,020180000,020180000,024340000,024340000,024340000,024340000,024340000,024340000,024340000,024340000,024340000,024340000,024340000,024340000
020530000,020530000,020530000,020530000,020530000,020530000,020530000,021610000,021610000,021610000,021610000,021610000,021610000,021610000,021610000,021610000
020530000,020530000,020530000,020530000,020530000,020530000,020530000,026690000,026690000,026690000,026690000,026690000,026690000,026690000,026690000,026690000
020540000,026950000,026950000,026950000,026950000,026950000,026950000,026950000,026950000,026950000,026950000,026950000,026950000,026950000,026950000,026950000
021530000,021530000,021530000,021530000,027330000,027330000,027330000,027330000,027330000,027330000,027330000,027330000,027330000,027330000,027330000,027330000
023600000,023600000,023600000,023600000,024750000,024750000,024750000,024750000,024750000,024750000,024750000,024750000,024750000,024750000,024750000,024750000
024390000,024390000,024390000,024390000,024390000,024390000,024390000,023480000,023480000,023480000,023480000,023480000,023480000,023480000,023480000,023480000
024390000,024390000,024390000,024390000,024390000,024390000,024390000,024790000,024790000,024790000,024790000,024790000,024790000,024790000,024790000,024790000
024390000,024390000,024390000,024390000,024390000,024390000,024390000,025970000,025970000,025970000,025970000,025970000,025970000,025970000,025970000,025970000
024390000,024390000,024390000,024390000,024390000,024390000,024390000,026460000,026460000,026460000,026460000,026460000,026460000,026460000,026460000,026460000
024390000,024390000,024390000,024390000,024390000,024390000,024390000,027710000,027710000,027710000,027710000,027710000,027710000,027710000,027710000,027710000
024390000,024390000,024390000,024390000,024390000,024390000,024390000,028110000,028110000,028110000,028110000,028110000,028110000,028110000,028110000,028110000
024580000,024580000,024580000,024580000,024580000,024580000,024580000,020260000,020260000,020260000,020260000,020260000,020260000,020260000,020260000,020260000
024580000,024580000,024580000,024580000,024580000,024580000,024580000,021470000,021470000,021470000,021470000,021470000,021470000,021470000,021470000,021470000
024580000,024580000,024580000,024580000,024580000,024580000,024580000,023250000,023250000,023250000,023250000,023250000,023250000,023250000,023250000,023250000
028100102,028100102,028100102,028100102,028100102,028100102,028100102,028100102,028100102,028100102,028100102,028100102,028100101,028100101,028100101,028100101
028100202,028100202,028100202,028100202,028100202,028100202,028100202,028100202,028100202,028100202,028100202,028100202,028100201,028100201,028100201,028100201
028100302,028100302,028100302,028100302,028100302,028100302,028100302,028100302,028100302,028100302,028100302,028100302,028100301,028100301,028100301,028100301
